Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
76,Monday Jun 29,boxscore,COL,@,LAD,L-wo,2,4,13,40-36,3,8.5,McDonald,Peralta,,4:10,N,41288,1.67,-,
77,Tuesday Jun 30,boxscore,COL,@,LAD,W,3,0,,41-36,3,7.5,Marquis,Billingsley,,2:16,N,43437,1.50,+,
78,Wednesday Jul 1,boxscore,COL,@,LAD,L,0,1,,41-37,3,8.5,Troncoso,Hammel,Broxton,2:28,D,40455,1.60,-,
79,Friday Jul 3,boxscore,COL,,ARI,W,5,0,,42-37,3,8.5,De La Rosa,Scherzer,,2:28,N,49026,1.34,+,
80,Saturday Jul 4,boxscore,COL,,ARI,L,7,11,,42-38,3,8.5,Schoeneweis,Peralta,Qualls,3:35,N,49096,1.41,-,
81,Sunday Jul 5,boxscore,COL,,ARI,L,3,4,,42-39,3,9.5,Haren,Jiménez,Qualls,2:48,D,27547,1.28,--,
82,Monday Jul 6,boxscore,COL,,WSN,W,1,0,,43-39,3,9.0,Marquis,Stammen,Street,2:12,N,25205,1.24,+,
83,Tuesday Jul 7,boxscore,COL,,WSN,W,5,4,,44-39,3,9.0,Embree,Tavárez,Street,2:59,N,25314,1.31,++,
84,Wednesday Jul 8,boxscore,COL,,WSN,W,10,4,,45-39,3,8.0,De La Rosa,Detwiler,,3:03,D,23098,1.30,+++,
85,Thursday Jul 9,boxscore,COL,,ATL,W,7,6,,46-39,3,8.0,Rincón,Gonzalez,Street,3:11,N,30392,1.46,++++,
86,Friday Jul 10,boxscore,COL,,ATL,L,1,4,,46-40,3,9.0,Lowe,Jiménez,Soriano,2:40,N,35238,1.45,-,
87,Saturday Jul 11,boxscore,COL,,ATL,L,3,4,,46-41,3,9.0,Jurrjens,Marquis,Soriano,2:51,N,38065,1.40,--,
88,Sunday Jul 12,boxscore,COL,,ATL,W-wo,8,7,,47-41,3,9.0,Street,Asencio,,3:15,D,33825,1.29,+,
89,Thursday Jul 16,boxscore,COL,@,SDP,W,10,1,,48-41,3,8.0,Cook,Gaudin,,3:06,N,22758,1.33,++,
90,Friday Jul 17,boxscore,COL,@,SDP,W,5,3,,49-41,3,7.0,Jiménez,Geer,Street,2:52,N,21887,1.41,+++,
91,Saturday Jul 18,boxscore,COL,@,SDP,L,1,3,,49-42,3,8.0,Burke,Peralta,Bell,3:00,N,28652,1.51,-,
92,Sunday Jul 19,boxscore,COL,@,SDP,W,6,1,,50-42,3,8.0,Marquis,Latos,,2:34,D,20747,1.55,+,
93,Monday Jul 20,boxscore,COL,,ARI,W,10,6,,51-42,2,8.0,De La Rosa,Davis,,3:01,N,40444,1.46,++,
94,Tuesday Jul 21,boxscore,COL,,ARI,L,5,6,,51-43,2,9.0,Gutiérrez,Rincón,Qualls,3:09,N,30248,1.55,-,
95,Wednesday Jul 22,boxscore,COL,,ARI,W,4,3,,52-43,2,9.0,Rincón,Schoeneweis,Street,2:36,D,30451,1.55,+,
96,Friday Jul 24,boxscore,COL,,SFG,L,1,3,,52-44,2,9.0,Cain,Hammel,Wilson,2:28,N,40524,2.08,-,
97,Saturday Jul 25,boxscore,COL,,SFG,W,8,2,,53-44,2,9.0,De La Rosa,Sánchez,,2:43,N,42201,1.96,+,
98,Sunday Jul 26,boxscore,COL,,SFG,W,4,2,,54-44,2,8.0,Cook,Sadowski,Street,2:53,D,40723,2.06,++,
99,Monday Jul 27,boxscore,COL,@,NYM,L,3,7,,54-45,2,8.0,Feliciano,Rincón,,2:46,N,38936,1.77,-,
100,Tuesday Jul 28,boxscore,COL,@,NYM,L,0,4,,54-46,2,8.0,Pelfrey,Marquis,,2:49,N,39126,1.65,--,
101,Thursday Jul 30 (1),boxscore,COL,@,NYM,L,0,7,,54-47,3,8.0,Santana,Hammel,,2:22,D,40024,1.62,---,2009-07-29 (Rain)
102,Thursday Jul 30 (2),boxscore,COL,@,NYM,W,4,2,,55-47,3,8.0,De La Rosa,Niese,Street,3:00,N,38962,1.55,+,
103,Friday Jul 31,boxscore,COL,@,CIN,W,5,3,,56-47,2,8.0,Morales,Weathers,Street,3:03,N,22130,1.58,++,
104,Saturday Aug 1,boxscore,COL,@,CIN,W,6,2,,57-47,2,7.0,Jiménez,Bailey,,2:55,N,23452,1.63,+++,
105,Sunday Aug 2,boxscore,COL,@,CIN,W,6,4,11,58-47,2,7.0,Morales,Masset,Street,3:29,D,31142,1.71,++++,
106,Tuesday Aug 4,boxscore,COL,@,PHI,W,8,3,,59-47,2,6.5,Hammel,Moyer,,2:50,N,45203,1.79,+++++,
107,Wednesday Aug 5,boxscore,COL,@,PHI,L,0,7,,59-48,3,6.5,Happ,De La Rosa,,2:18,N,45129,1.75,-,
108,Thursday Aug 6,boxscore,COL,@,PHI,L,1,3,,59-49,3,7.5,Lee,Cook,Lidge,2:22,D,45316,1.73,--,
109,Friday Aug 7,boxscore,COL,,CHC,W,6,2,,60-49,2,6.5,Jiménez,Marshall,,2:43,N,46118,1.73,+,
110,Saturday Aug 8,boxscore,COL,,CHC,L,5,6,,60-50,3,6.5,Dempster,Marquis,Gregg,2:44,N,47845,1.95,-,
111,Sunday Aug 9,boxscore,COL,,CHC,W,11,5,,61-50,2,5.5,Hammel,Wells,,3:06,D,40217,1.85,+,
112,Monday Aug 10,boxscore,COL,,CHC,W,11,5,,62-50,2,5.5,De La Rosa,Gorzelanny,,3:15,N,34485,2.00,++,
113,Tuesday Aug 11,boxscore,COL,,PIT,L,3,7,,62-51,2,6.5,Ohlendorf,Chacín,,3:23,N,35212,1.89,-,
114,Wednesday Aug 12,boxscore,COL,,PIT,W,8,0,,63-51,2,5.5,Jiménez,Hart,,2:49,N,29430,1.85,+,
115,Thursday Aug 13,boxscore,COL,,PIT,W,10,1,,64-51,2,5.0,Marquis,Maholm,,2:35,D,27619,1.85,++,
116,Friday Aug 14,boxscore,COL,@,FLA,L,5,6,,64-52,2,5.0,Johnson,Hammel,Oviedo,2:52,N,15965,2.08,-,
117,Sunday Aug 16 (1),boxscore,COL,@,FLA,L,3,10,,64-53,2,5.0,Volstad,Cook,,3:11,D,,2.26,--,2009-08-15 (Rain)
118,Sunday Aug 16 (2),boxscore,COL,@,FLA,W,7,3,,65-53,2,5.0,De La Rosa,van den Hurk,Street,3:24,N,20089,2.26,+,
119,Tuesday Aug 18,boxscore,COL,@,WSN,W,4,3,,66-53,2,4.5,Jiménez,Burnett,Street,2:37,N,18192,2.04,++,
120,Wednesday Aug 19,boxscore,COL,@,WSN,W,5,4,,67-53,2,3.5,Marquis,Balester,Street,3:11,N,16187,1.98,+++,
121,Thursday Aug 20,boxscore,COL,@,WSN,W,4,1,,68-53,2,3.5,Hammel,Mock,Street,2:50,N,18036,1.94,++++,
122,Friday Aug 21,boxscore,COL,,SFG,L,3,6,,68-54,2,4.5,Sánchez,Cook,,3:18,N,43666,2.71,-,
123,Saturday Aug 22,boxscore,COL,,SFG,W,14,11,,69-54,2,4.5,De La Rosa,Miller,,3:15,N,47178,2.83,+,
124,Sunday Aug 23,boxscore,COL,,SFG,W,4,2,,70-54,2,3.5,Jiménez,Lincecum,Street,2:46,D,48704,2.81,++,
